,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
304,no le entiendo,por que rega�a al hermano menor,un coco,es la que la vale m�s,hechas de vapor de agua,suave,linda,asqueroso,diversi�n,viene los regalos 3,que est�n echas de acero,por que las pierna soy echas de huesos,0,esta hecho de papel,quien sabe,0,que no es ardiente,si le echa fuego si es posible,0,0,que nadie es rico,por que si eso pasara todos seria pobres,que no tienes piernas,que no tienes piernas,que todas las aves vuelan,si,que todas las noches esperas sus llegas que,que si es posible
305,porque es una met�fora hacia su hermano,que es una persona que grita mucho,quiz�s a una mascota que tengan,porque el sol es de fuego y la luna es de color de la plata,blancas,suave,una mirada sexy,enojados,hay vacaciones,que ya es navidad,que tiene piernas muy fuertes,porque con el ejercicio se endurecen las piernas,que es un sobre hecho de papel,porque si existen los sobres de papel,que tiene muchas fechas importantes,porque si existen meses as�,que quemaron el carb�n en el fuego,porque con el carb�n se hace el fuego,es una met�fora para referirse a unos ojos de una persona molesta enojada,porque ay personas con ojos as� de pesados,quiz�s porque brilla de limpia,porque al lavarlas quedan limpias,que trajeron cebollas,si porque alguien las pudo haber tra�do,que varias personas se van,porque es cono una met�fora para decir que las personas o alguien se va,que ya es de noche,porque es una met�fora usada para decir que ya es de noche
306,depende si se refieren al sentido literal o figurado si es literal no tiene sentido pero si lo vez en sentido figurado puede tener un mensaje trascendental,cuando a alguien se le dice pelota la mayor�a de veces es porque tratan de decirle gordo as� que supongo que trata de decir que su hermano es un gordo grit�n,la cabeza tal vez,me refiero al color cuando me dicen plata lo primero que se me viene a la mente es el dorado,blancas en alegr�a grises en tristeza y transparentes en la normalidad en este caso blancas en alegr�a,suave al nacer o rocosa al trabajar suave como la de un bebe,perforador,tristes o enojados,nada con la anomal�a de que tienen m�s tiempo para hacer nada,que la navidad llego regalos comida familia o soledad hay de todo en este mundo,piernas fuertes o que haya perdido sus piernas en un accidente y le hayan puesto unas de acero,no creo que sea como tal de acero pero en el sentido figurado si,solo un sobre hecho de papel,si es bastante normal,no lo se hermano disculpa,todo hay en este mundo como dice mi mama,calentaron mucho el carb�n,porque es normal,ojos triste tristes enojados decepcionados etc,todas las personas tienen su forma de mirar,que alguien es de dinero y compro una calceta de plata,si se ve poco pero si,tal vez es que al cortar te llegue,si pasa al cocinar,que son aves y pues vuelan,si son aves,que oscureci�,si pasa todos los d�as
307,por que no se entiende a que quiere dar a entender,que es una persona inquieta,un animal,que puede que sea una referencia a algo de plata,esponjosas,suave,pervertido,como el caf�,hace calor,comida y regalos,aquellos que hacen ejercicio sin cansancio,si porque hay personas que pierden piernas,una carta,si porque puede que sea alguien que quiera saber de ti,puede que se refiera a los aztecas,no tengo idea,estas haciendo una carne asada,algunas personas lo dicen,que son como el caf�,la mayor�a de las personas as� los tienen,0,0,que hace que llores,porque lo he experimentado,que son libres,las he visto,que ya es de noche,siempre lo veo
308,por que no es una pelota,porque grita mucho,un perro,es redonda y parece de plata,bombones,suave,enojada,tristes,vacaciones y lluvia,comida,sus piernas son fuertes 3,si hace mucho ejercicio si sino no ,la piel no puede ponerse en sobres o no que yo sepa ,por que no es posible es continua o si la cortas en pedazos,no entiendo tu referencia,es que no se,cuando se acaba de prender,por que el fuego es caliente y calienta el carb�n,tristes como mi coraz�n,cuando estas triste te vuelves amargado como yo,por que seria muy fr�os y duros,por que no es posible,la cebolla no camina,por que no tiene pies,que tienen alas,si por que tambi�n tienen plumas,que ya se fue el d�a,por que la tierra rota sobre su eje
309,las pelotas hacen ruido al golpearlas,que siempre que se mueve hace demasiado ruido,mi hermano,que si se llega a romper no se podr�a recuperar ya que es muy cara,blancas y no las podr�a tocar,muy suave demasiado c�moda y linda,seductora que te puede intimidar,amarillos y cansados,las primavera oto�o e invierno,que llego la felicidad,que est�n muy bien hechas que son solidas y no se pueden deformar,si porque las piernas son muy resistentes a todo,que es algo donde se puede meter alg�n objeto,si porque casi todas las hojas son de papel o bueno que provienen de un �rbol ,no sabr�a decirle,no s�,que el carb�n arde cuando se quema,si es posible ya que cuando se prende hace contacto con el fuego y eso hace que arda y se obtenga fuego,que es muy amargada la persona,si es posible ya que puede que sea amargo y eso se pueda reflejar en mis ojos,que es muy cara ya que es comida y puede satisfacer tus necesidades,si es posible ya que puede haber unas en un pa�s o algo as�,pues te salpica en el ojo y eso hace que te salgan l�grimas,si es posible bueno todo en esta vida se puede realizar,que van por el aire,si porque es la manera en la que ellas se transportan,que en las 24 horas hay d�a y noche,si porque as� lo marca el calendario azteca
310,si es un juguete o algo que produzca alg�n sonido pues si,que con cualquier cosa se altera y grita,cualquier cosa que sea redonda,que vale mucho,muy blancas,suave,muy provocativo que,muy tristes,cuando el invierno se acaba todo vuelve a la normalidad verde y con muchos calores,una �poca de paz y uni�n,que tiene mucha fuerza en ellas,si es posible por que la oraci�n es en sentido figurado,se utilizan para meter archivos o cartas,porque existen en la vida real,pueden hacer uno de ese material,por que no tiene l�gica,cuando el carb�n esta muy caliente,si es posible por que cuando lo calientas arde,que no tiene una mirada con mucha alegr�a,por que puede ser en el sentido de que una persona esta triste,0,no tiene l�gica,que esta lista para ser ingerida,si le encontramos otro sentido si es posible,que hace lo que su naturaleza le ordena,por que es,cuando se acaba el d�a,por que eso pasa d�a a d�a
311,por que habla de cosas circulares igual que una pelota,por que no esta quieta,la cabeza de un perro,es una moneda por que es circular y es de plata,son lluviosas,es delicada,enojada,ojos de distinto color o que no lloran,el verano esta cerca,que estamos viviendo esa �poca,que son unas piernas muy fuertes o ejercitadas y con m�sculos,por que pueden ser piernas de un robot o ser muy fuertes,escribir en el,por que es algo que existe,por que no es real,0,que tiene fuego,por que para eso es fabricado el carb�n parta encender fuego,tal vez se puede referir a una met�fora y tratar de decir que tienen una mirada sin sentimiento,por que puede hablar de una met�fora,que podr�a ser de un color gris,por que no solo se puede referir a la plata en si si no que tambi�n una met�fora,que llevaron una cebolla,por que es como decir ya trajeron la cebolla,que pueden hacerlo por que tienen alas,por que son animales voladores,si por que todo d�a tiene un fin y ese fin es la noche,por que mis d�as se hacen noches si no estas
312,porque mi mama es una pelota que canta muy bonito,que mi hermanito grita mucho en casa,mi abuelo,que es una pelota que vale mucho,esponjosas y suaves,es suave,es la sonrisa que ponen en la mirada,son como las ventanas del alma,que en el verano hace calor,que les gusta la navidad y que las personas son felices en esta �poca del ano,que se vuelven mas fuertes con el ejercicio,por el ejercicio que hacemos a diario,que va una carta para alguien,porque va con sentimientos yo emociones de la persona que la env�a,un alimento,porque lo plantan,que esta empezando a oler rico,porque es cuando hacen carnes asados,que te sientes amargado y tus ojos lo reflejan,porque depende de tus emociones,vale mucho y no se rompe,por que se rompe f�cilmente,hace llorar,por que empiezas a cortar la cebolla y lloras,que les gusta el aire,porque vuelan y viven as�,es oscura,por que es hermosa
313,por que una pelota que canta seria il�gico que cantara sin embargo hay personas que tienen mucha imaginaci�n e incluso en cuentos podr�a decir que una pelota que canta o algo parecido claro que seria un cuento de fantas�a puse que no por que para mi si seria il�gico que un objeto hablara o cantara,pues a mi entender la persona se esta haciendo una referencia de la pelota con su hermano que es inquieto entre otras cosas,un estambre,pues yo lo puse por que mi cerebro en si es el que piensa razona es inteligente algo apreciado y lo di como referencia como algo importante,parece un algod�n de az�car tienen diferentes formas son blancas y azules est�n en el cielo se desvanecen y se ven esponjosas,delicada suave y liza,es provocativa aunque puede ser ardiente de coraje as� que puede ser con agresi�n frustraci�n coraje enojo y placer,sin ganas como de que esta fastidiado art no tiene autoestima ni moral quiz� tenga problemas no quiere hablar con nadie y quiere su espacio,que ya casi llega verano diferente estaci�n futuro,que ya estamos en navidad presente,para mi en un humano no pero un robot tiene piernas de acero,por que si es posible en un robot,donde guardar un papel u otra cosa,por que hay demasiados hoy en d�a,0,puede que sea posible pero no lo conozco,un carb�n son como piedras para que pendra y se quede prendida una fogata,por que lo he usado y lo conozco,0,quiz� quiera decir ojos amargados pero no se,puede ser una calceta cara,si es lo que pienso por que hay calcetas mas caras que otras,0,no hab�a escuchar de ella,pues es un ave y las aves vuelan la gaviota es un ave y por lo tanto vuela,por que lo he visto,que un d�a ya termino anochece sale la luna se desvanece el sol ya no hay estrellas y es hora de dormir,por que todos los d�as pasa
314,porque una pelota es un objeto no una persona y una pelota no canta,que a mi hermano le gusta gritar o hablar mucho y muy fuerte,mi cabeza o la de alguien m�s,porque mi trofeo es de plata,blancas,suave y tersa,mirada atrevida,con enojo,las vacaciones,que el a�o esta por terminar y que es hora de empezar a festejar,que tienes unas piernas fuertes,porque hay personas que se esfuerzan por tener su cuerpo fuerte,es cuando quieres ponerte en el lugar de otro o quieres actuar por el,porque hay personas que ayudan a otros o quieren actuar o decidir por el,que tienes un a�o apretado,no porque un zacate no tiene que ver con un calendario,que el carb�n esta en una lumbre que esta caliente,si porque el carb�n cuando lo pones a calentar en una lumbre pues se calienta,que tienes una mirada enojada,si porque hay personas que se enojan y ponen ojos de coraje,como si fuera tu calceta de la suerte tal vez,si porque muchas personas tienen algo que seg�n les da suerte,que una persona inesperada llega o algo,si porque cuando llega una persona inesperada y no te cae bien,que alguien que no te imaginabas se fue,hay personas que sin avisar se van,que despu�s de un largo d�a por fin llega la noche,porque despu�s de un largo d�a cualquiera espera la noche
