,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
110,111,m,por que no rima,,es un nino que se la pasa gritando y llorando todo el dia,,las cabezas,,puede ser una moneda por que existen monedas de plata,,es suave con bellos,,podrian ser los girasoles,,corazon que no tiene nada de sentimientos por dentro,,sonrisa que puede desaparecer con el tiempo si no hacen algo,,pasan dias meses y no vemos llegar el fin del ano,,que pasa el tiempo y tienes que hacer lo que tienes que hacer,,ojos de color cafe,,por que al verlos en el sol se torno un lindo color miel,,un collar hecho de perlas,,por que las perlas en la actualidad existen,,que no todo es posible,,por que al barrer las cerdas de la escoba se quebrantarian,,una persona que se amarga facilmente,,por que hay muchas personas en el mundo que no son felices,,que cuando menos lo veas alguien te dara un gran abrazo,,por que cuando todo lo vemos perdido alguien nos dara un abrazo,,persona sin valor alguno,,por que abeses damos todo por una persona que no vale nada,,los ultimos tiempos de la humanidad,,por que esta escrito en la biblia,,todos vamos por otros caminos,,por que se ve,,el tiempo pasa y se puede aproximar el fin del mundo,,si por que en la biblia,,,
111,112,m,por que millonario canta,,por que chillan mucho o gritan mucho exageran,,un gato,,por que es algo de plata como una moneda,,es como una hoja de papel,,yo digo que son como los girasoles o sino flores de oro falspo o verdadero,,cuando te rompen el corazon y te haces bien malo te haces bien frio,,que no es ni muy caliente ni muy fria,,pues que por el transcurso del dia se hace mas largo,,que el tiempo pasa muy rapido y no nos da tiempo para hacer las cosas que queremos,,pues yo digo que alguien alguna persona que tenga los ojos como de color miel,,por que es como si ella me amara que eso no es verdad,,que cuando le quitan las perlas a las ostras,,por que si existen,,no tiene sentido,,por que cuando barran o algo asi se van a romper,,que no saben bien por que se pasaron de sal,,por que se pasan de sal,,que cuando te abrazan te sientes en las nubes,,por que se siente muy bien muy suave,,que los lapiz no tienen sabor,,por que no tienen sabor c,,por q no,,por q no se mueven,,que va nmuy rapido,,por q va muy acelerado muy rapido,,por q no,,solo pasan,,,
112,113,m,no sele entendio nada,,que su mama es una persona muy gritona,,una cabesa,,que es muy valiosa,,blanco,,amarillas,,que no tiene emosiones ni dolor,,cono la boca y los dientes,,son muchos dias 365 dias,,que el tiempo va rrapido,,ojos bien chidos,,por que no se si si ono,,collar de cosa brillantes,,por que ay genteque rrecolecta las perlas,,el ocnitrix,,:v :v :v :v :v :v :v :v,,mucha sal,,por lo que le echa la mama ala comida,,no lose,,:v,,no tiene sabor,,no existe,,no lose,,me vale,,velos,,no lose,,no tengo ni idea,,https:goo.glformsshd4fjihsfwsxum,,,
113,114,m,no se,,q no entisende,,pelota de pelos,,por q si brother,,muy suabe,,flores bonitas,,q no tienen sentimientos,,hermosa pero sincera,,no ocurre nada,,q el tiempo pasa rapido,,por q yolo,,por q son bonitos,,collares bonitos,,no se pero si,,NS,,mmm........,,que tiene mucha sal,,por q no quedo bien,,q son muy tiernos,,NS,,NS,,por q no tienen sabor,,NS,,NS,,lleva pasajeros,,por q el viaja mientras traslada personas,,q pasa rapido el tiempo,,por q pasa rapido el tiempo,,,
114,115,m,por una pelota no canta,,por que se la pasa gritando,,una bola de estambre,,por que la moneda esta echa de plata y tiene una forma redonda,,son muchas capas delgadas,,los girasoles,,rojos,,son blancas y briyantes,,que el ano pasa muy lento,,que el tiempo se va muy rapido,,que sus ojos soy muy brillantes,,por q no tiene los ojos de miel,,por q si puede ser possible tener un collar de perlas,,si s se puede tener,,q la escoba es brillante y frajil,,no por q se romperia facilmente,,q la comida sabe mucho a sal,,si por q se le puede poner mucha sal,,q se abrasan suave mente,,si por q se pueden abrasar suave mente,,q el lapiz no save a nad,,no es posible por q los lapiz no tienen sabor,,NS,,NS,,q el tren se mueve,,si mpor q un tren se puede transladar de un lado a otro,,q los dias se van muy rapido,,si por q el tiempo se puede pasar muy rapido,,,
115,116,m,porque le entiendo y cuenta como una historia,,porque grita mucho,,un gato si esta gordo,,porque es un mundo de dienro,,que tiene la piel muy delicada,,que tienen el color de oro,,que no tienen compacion y son muy directos y que no les da alegria muchas cosas.,,que no sonrie con animo y lo hace como sarcasmo.,,que se le hace muy tardado los anos y que un ano es lento y es mucho tiempo.,,que estuvieron a punto de ganar y no se imaginan que quedaron en segundo.,,que tiene los ojos color como dorados,,si porque tiene el color parecido a la miel,,que el collar esta conformado por esferas que parecen perlas . o si estan conformados por perlas,,porque tal vez si tienen perlas o se parecen a perlas lo que tiene en el collar,,que la escoba se rompe muy facil,,si porque creo que es posible tener una escoba de cristal si la mandas a hacer.,,"que la comida no tiene un sabor dulce, sino que tiene sabor como salado",,si porque puede hacer que la comida sepa salado o por los ingredientes que tienen,,"que abrazas suave, carinoso, tierno, dulce y que no abrazas con fuerza sino con delicadeza",,porque puedes abrazar con delicadeza y suave.,,que cuando muerdes un lapiz que no tenga sabor.,,porque cuando muerdes un lapiz va a tener a fuerzas un sabor. ni modo que la madera no tenga un sabor.,,que el calor del horno se expande,,porque un horno no se puede mover y acercarse solos,,"que el tren como transporta a la gente o animales , cosas, etc.. pues el tren va de un lugar a otro.",,porque los trenes van recorriendo el mundo y eso es viajar,,que se te van pasando rapido los dias. es una forma de expresarse,,no porque los dias en realidad no corren,,,
116,117,m,los ruidos que hace una pelota,,su hermano es un nino que grita mucho,,alguna persona u objeto con muchos pelos,,esa persona mencionada es muy valiosa,,arrugada y fragil,,color amarillo,,no sabe que es el amor,,"una sonrisa por compromiso, sin demostrar mucho",,los dias y meses se hacen largos,,que el tiempo se pasa muy rapido,,una persona tiene los ojos color miel,,si es posible,,existen collares de perlas,,"si, es posible",,una escoba echa de cristal,,no creo que exista una escoba echa de cristal,,algun tipo de comida salada,,"si, se pueden hacer alimentos salados",,"un abrazo delicado, sin mucha fuerza",,"si, no es necesario usar demasiada fuerza",,un lapiz que no tiene algun tipo de sabor,,"no, los lapices no desprenden sabor",,no le veo ningun significado,,no creo que un horno se pueda acercar a ti,,un tren e movimiento,,"si, los trenes realiza viajes",,los dias pasan mediante horas,,"si, se pasan rapido por el tiempo",,,
117,118,m,por que las pelotas no cantan,,que es muy ruidoso,,un jamster,,es que es lo unco que se me vino a la mente la verdad es algo raro esto pero bueno adios..... :3,,hay ifernentes tipos de piel estan las pieles humanas y las de los animales pero yo no se si hay una de papel lo siento,,pues si creo que existan las flores de oro pero obviamente son como las flores normales,,los corazones son calientes,,es una calida sonrisa q te hace sentir agusto,,con el ano no pasa nada todo depende en q ocupes el ano y si no haces nada todos los dias se te ara eterno,,creo q estoy confundido por que los segundos no tienen alas a no serq te refieras a q los segundos pasan muy rapido y eso si q es verdad pero bueno creo q e llegado alfinal asi q adios cuidate :),,que es algo ilogico eso,,por que somos humanos... :(,,que si es posible hacer un collar asi,,por que muchos lo an echo,,por que las escobas son para barrer no de decoracion,,es posible pero esa no es su utilidad,,que se te puede pasar la sal en la comida,,si por que es algo q suele pasarle a muchos,,que un humano si controla la fuerza con la que te abraza,,por que somos capases de controlar nuestra fuerza,,que el lapiz esta echo de madera y la madera tiene sabor,,no por que todos los materiales con los q elaboran el lapiz tienen algun sabor,,que los hornos no caminan!!!!,,por que asta que no saquen uno que a la ves sea un robot no lo ara,,que el tren se mueve de un lugar a otro,,si por que es una maquina con un motor el cual hace que este abance,,que los dias no corren pero si pasan,,por que los dias no son nada mas q el nombre de un ciclo,,,
118,119,m,las pelotas solo son cosas no seres vivos xdxd,,es una maquina o bien alguien que grita demasiado,,"una simple pelota con pelos , o un nombre de apodo a un ser vivo",,una cosa grande y apreciada,,suave,,son de oro xdxd,,duros y dificiles,,una cara linda y apreciada,,va lento jajaja,,que van muy rapido,,bonito ojos,,porque si los hay,,un collar de perlas (una jolla muy hermosa),,porque las he visto xdxd,,una escoba bien shidoris de cristal,,no creo que hayga pero si podria haber,,una comida con sal o mucha sal,,"si, he comido xdxd",,un abrazo carinoso y suave,,es muy simple de darlo,,si,,los lapices no tienen sabor,,no tiene sentido para mi,,"pues para nada , eso es sin sentido",,los trenes hacen viajes por vias,,los he visto xdxd y hay muchos xdxdl,,que los dias que pasan van muy rapido(el tiempo pasa rapido),,esto es cierto,,,
119,120,m,nommmmmmeinpooooooooooorrrrrpa,,pirhhhhgvfriufueiituj,,pojdtyubvouolkyfb,,opjfyunerton,,rasposa887556,,porpas,,rojos,,fopriapas,,cancion,,pasapo,,es un desrir para un poema o cariyo,,por que los ojos no son de miei,,las perlas ecisden,,las perlas ce puepen aeerce cojar,,ce romderian,,so de cristal,,es rapida,,escencija,,no somos suapes,,nuesra piel noes posiple acerce,,no es comida,,es ara esrgidir,,no se puepen moder,,no pienen pies,,no ce que es,,no meimporpan,,dhggd,,ghfdduhgfjh,,,
120,121,m,por que no canta,,por que llora o le hacen algo,,pelota con pelitos,,vale mucho por que es de plta,,por que esta muy debil,,doradas y bonitasp,,por que te conjelas,,por que no esta ni fria ni caliiente,,"por que tardan
en pasar los dias",,si por que si,,por que no hay ojos de miel,,pr que no existen,,por que pueden hacer los collares,,por que en las gollerias hay collares de perlas,,por que no existen,,por que no las pueden hacer las escobas de cristal,,por axidente se pasan de sal,,por q les queda salado,,se pueden hacer con carino,,por que los hacen con amor,,sabe a madera,,por que los hacen con madera,,no pueden,,por que no tienen pies,,si viajan,,para llevar carga o pesonas,,por que pasan los dias,,para llegar a otro ano,,,
121,122,m,por que no es posible que una pelota hable,,puen que su hermana grita mucho,,mi primo,,mi papa por que es de plata,,suabe,,doradas y con hojas,,rojos y chicos,,muy grande,,"pues que pasan los dias ,las semanas y los meses",,pues que los segundos pasan rapido,,pues que los heredo de su padre o madre,,si por que los puede heredar de su padre o su madre,,pues que se lo regalaron o se lo compro,,si por que se lo pudieron regalar o lo pudo comprar,,pues no existen,,no por que no existen,,pues que a esa persona le gusta mucha la sal,,si por que hay personas que le gusta mucho la sal,,pues que estan alegres,,si por que estan alegres con esa persona o con ellos mismos,,pues que no tiene sabor,,no por que el lapiz no tiene sabor,,pues no se pueden mover por si solos,,no por que los hornos no se pueden mover solos,,pues que va aljun lugar lejano,,si por que van a aljun lugar de viaje,,pues que los dias correr como la semana,,si por que se van los dias asi como la semana,,,
122,123,m,q ti,,ns,,ns,,sa bra,,suabe,,jirasoles,,cuando una mujer juega con tigo xd,,q noes fria ni caliente,,nose xd,,xd,,NS,,NS,,NS,,NS,,por q no,,NS,,NS,,NS,,NS,,q ti,,l,,n,,m,,nod,,h,,j,,g,,klhg,,,
123,124,m,por que es pelota,,and fort,,yus tu and mafetfort,,nou,,no dse,,tu,,tu,,yes,,muy bien,,tu no,,NS,,nose,,no s e,,no se,,no me acuerdo,,no me acuerdo,,NS,,nome acuerdo,,nose,,no se,,no me acuerdo,,no se,,no me acuerdo,,no se,,no me acuerdo,,no sew,,and fort mach,,no se,,,
124,125,m,los pelos no cantan,,que grita mucho,,mi hermano es de pelos,,da dinero o es de la suerte,,blanca,,amarillas,,trites,,normal,,las horas pasan lento,,el tienpo pasa rapido,,que no puedes tener los de ese color,,no por que nadie los tiene asi,,que si es posible tenerlos,,si por que las puedes conprar,,que si la puedes tener,,si por que la puedes mandar a aser,,que la puedes comer,,si por que le puedes echar mucha sal,,que si los puedes tener,,si por que si eres viejito tu piel se ase suavesita,,que cada lapis no tiene sabor,,no es posible por que estan echos de madera,,que los hornos no se mueben,,no por que los hornos no caminan,,que el tren siviaja,,si por que es posible que se mueba,,que los dias no pueden correr,,no por que solo pasan,,,
125,126,m,suena extrano,,porque grita mucho,,un gato,,la luna es una pelota de plata (porque brilla),,duro y enredado,,brillantes,,dulce,,fria,,se fue,,hay que tener esperanza,,estrellas brillantes,,las estrellas estan compuestas de gases y otros elementos,,que la ropa esta hecha de tela,,porque si existe,,NS,,la miel se derrite y unos zapatos de miel no son muy comodos,,que la escultura es de piedra,,porque si existen,,de alma fuerte,,es un decir,,que la banqueta te da abrigo,,la banqueta no te cubre del frio,,que los de dhl te trajeron una silla,,es posible,,que los atletas corren,,porque es cierto,,se nos va el tiempo,,el tiempo es lo mas importante,,,
126,127,m,no le entiendo,,mi hermano grita mucho,,mi perro,,muchas monedas,,como parado,,muy blancos y brillosos,,buena gente,,helada,,tomaste mucho,,en el futuro va ver mejores cosas,,NS,,no es posible,,vestidos hechos de tela,,porque los he visto,,NS,,no existen,,una escultura de piedra,,porque lo he visto,,donald trump,,porque he visto a donald trump,,NS,,NS,,que no llego,,NS,,que puedan correr,,porque corren,,NS,,porque el tiempo se acaba,,,
127,128,m,las pelotas no cantan,,que grita demasiado,,perro,,es redonda y plateada,,tiezo,,blancos y brillantes,,buena y tierna,,muy seca fuerte,,desaparecio,,que estas pasando por un momento dificil pero que se va superar,,que si puede haber de adorno,,porque se puede de adorno,,los vestidos normalmente son de tela,,por casi siempre se puede,,el color del zapato,,por que es el color,,es material de se puede hacer escultura,,si porque la piedra se puede manipular,,alma muy aferrada seca,,puedes usarlo como metafora,,la banqueta no abriga,,la banqueta no abriga,,que lelgo una silla que compraste,,por que puedes comprar una silla y cuando llega usas esa expresion,,que es lo que hacen los atletas,,si por que los atletas hacen eso,,se te acaba el tiempo,,cuando se te acaba el tiempo te alcanzo,,,
128,129,m,porque las pelotas no cantan,,que su hermanito siempre esta gritando y hace mucho ruido,,un gato,,porque la luna tiene un tono plateado y es lo contrario al sol,,seco y tieso,,muy blancos y brillantes,,amable,,"fria, maliciosa,",,amanecio,,que las cosas malas pasaran y vendran cosas buenas,,estrellas que brillan mucho,,porque puedes cortar cristal en forma de estrella,,vestidos que estan echos de tela,,porque la ropa se hace de tela,,que son zapatos de color miel,,porque no puedes usar zapatos echos de miel,,es una escultura echa de piedra,,porque hay muchas esculturas echas de piedra,,que eres muy valiente y no le tienes miedo a nada,,porque un alma no esta echa de hierro,,que la banqueta es segura,,porque las banquetas no te pueden abrigar,,que trajeron una silla,,porque las sillas no se mueven,,que unos atletas estan corriendo,,porque los atletas suelen correr,,el tiempo tarde o temprano te alcanza,,porque el tiempo nos alcanza a todos,,,
