,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
112,113,m,no. ninguna pelota puede cantar,,que es muy gritona,,una pelota de oro. porque una pelota de pelos nadie la quiere,,esta hecha de plata,,son liquidas y llueve leche,,tu cuerpo es resbalosa,,para conquistar a una niña,,te arden los ojos,,hace mucho calor,,es navidad,,que tiene piernas muy fuertes,,por que si ases ejercicio tus piernas se ponene fuertes,,que estas en el papel,,por que si te pones sobre el papel de rompe,,esque tienes un calendario de papel,,tu puedes hacer un calendario de pasto,,que tienes temperatura,,cuando tienes temparatura esta caliente,,cuando te arden,,por que cuando te hachas limon a los ojos,,cuando tienes una calceta a color,,tienes una calceta color plata,,una cebolla camina y llega a casa,,una cebolla no camina,,las aves vuelan,,todas las gavuiotas vuelan,,hora se oscurecer,,el sol se va y la luna llega,,,
113,114,m,si. porque rima,,porque esta gordito y es griton,,cabeza porque tiene pelos,,que es una pelota de plata,,estarba potadisada ,,que lo que tienen ,,no es ardiente ,,son los que tienes en la cara ,,uses cosar y te bas a lugares ,,que los relles llegan ,,que tengas piernas de piedra,,porque existe,,que sobro el papel,,porque si puede ocurrir,,que es un calendario de zacate,,asi puede haber un calendario de zacate,,que si el carbon es ardiente,,por que si se puede se ta calienta el carbon,,si puede sirve,,tambien puede ser posible,,que es una celsetare,,no es posible.,,no es posible,, no es posible,,si es posible,,si es posible por que si vuelan,,tambiene s posible,,tam bien es posible,,,
114,115,m,no. porque las pelotas no cantan,,que grita mucho,,perro tiene mucho pelo,,que el de la tienda es muy buena persona,,de vapor y bonitas ,,de colores,,seria,,redondos,,hase sol ,,que la navidad llego ,,que te compras una pierna y te pongan otra ,,por que si se te llega a romper una pierna la sacan y la unen una robotica de acero,,que algo traspasa el papel,,por que todo puede traspasar el papel,,que seas ingenioso,,por que puede inventar cosas,,que un carbon esta prendido,,que algo te qedo,,que estas triste,,cuando alguein te dice ojos amrgos es por que t e ve triste,,que son calcetas caras,,por que te puedes comprar calcetas caras,,que te hace llorar,,que te hace llorar,,que vuelan,,por que son aves,,que hace sueno,,que ya te quieres dormir,,,
115,116,m,si. porque la mama puede cantar,,que grita mucho,,un gato tiene pelos,,el minero saca la platapor eso,,de vapor ,,de cuero ,,fijamente ,,blanckos ,,hace calor ,,que llego una etapa del año ,,que tiene las piernas duras,,por que no se puede adherir a nuestras piernas,,un objeto,,por que ya existe,,no se,,por que no se puede,,carbon que esta prendido,,por que todo carbon se prende,,NN,,por que los ojos no se prueban,,que se ven de plata,,por que molestaria,,NN,,por que no camina,,que vuelan,,por que tienen alas,,siemore llegara,,por que da vueltas al planeta,,,
116,117,m,si. porque si se entiende,,si ,,si,,si,,no a nubes de leche ,,no ay piel de seda ,,no ay mira ardiente ,,no ay ojos amargos ,,si el becano biene ,,si la nabidad llego ,,significa que no hay piernas de acero,,no por que como ba haber piernas de asero,,significa que como habra sobre de papel,,si va haber uno abre el sobre de papel,,significa que si hay zacate,,no habra calendario de zacate,,significa que si hay ardiente,,si abra carbon ardiente,,significa,,que no hay ojos amragos,,significa,,que no hay calceta de plata,,significa,,que la cebolla llega,,significa,,que si las gaviotas vuelan,,significa,,que si la noche llega,,,
117,118,m,no. porque yo lo digo,,si que es un bebe y que le meten un ladrillo por  la boca para callarlo,,NS,,una pelota *** (chapada) en oro,,en el agua conjelada en el sielo ,,de carne ,,puede ser diferente bariacion ,,azules rojos verdes tambirn baria ,,maiova ,,caca,,que en ves de tener carne tiene acero,,puede haber piernas de protesis pero no de nacimiento,,esta parado y pisando un papel,,estar parado y pisar el papel ,,por que no hay ninguna asi,,no creo y nunca he visto ese calendario,,hay carbones grandes que lo sprendes y tardan en quemarse,,se de hecho hay carbones del tamano de una pelota de ping pong,,ojos de que no expresan nada,,hay personas amargadas pero ojos wtf?,,se devestidos de oro pero calseta,,eso no me quejo por que he visto y oido cosas mucho mas estupidas,,pero a donde llega a una carrea o que carajo,,si osea a donde llega a la playa a una carrera,,si es algo de la naturaleza,,si osea es algo de la anaturaleza,,de hecho al caer el sol llega la noche,,si osea por si no saben 12 horas para el sol y 12 para la noche,,,
118,119,m,si. porque dices una rima,,que grita mucho,,rata,,un oro,,so de bapor ,,blanca. morena. negra ,,con los ojos ,,es una bolita blanca y una bolita adentro ,,que calor ,,de que la nabidad viene ,,para las piernas que te protejan,,por aqui puede ser que un unoslugares si los hagan,,yo puedo hacer uno,,por que yo los puedo hacer,,solo hay de papel,,yo solo he visto de papel,,solo carbon negro,,yo no lo he visto,,hermosos,,por que no creo,,que hay una calceta de plata,,yo no he visto una,,no hay ninguna,,yo he visto una cebolla,,no hay ninguna,,yo no he visto una,,tal ves,,la noche si llega,,,
119,120,m,no. porque las pelotas no cantan,,porque grita,,pelota de piojos porque es algo del cabello,,es una pelota de plata,,son cosas blancas que estan en el cielo ,,suavesita ,,coando ves a alguien ,,son cosas redondas que tenemos en la cara,,las flores cresen y ase mucho calor ,,de que vienen los relles magos ,,es para hacer casas,,por que no la e visto,,es como un sobre,,por que con eso le mandan mensaje,,pasto seco,,por que no hay calendarios de pasto seco,,es como madera caliente,,porque yo la e visto,,ojos amargos,,por que amargos es una palabra rara,,es algo de plata,,por que la plata te dana la piel,,la cebolla tiene pies,,por que la cebolla no tiene pies,,de que las gaviotas vuelan,,por que ellos tienen alas,,que la noche llega,,por que cuando son las 8:00 la noche llega,,,
120,121,m,no. porque ellas no hablan,,si porque tal vez asi es y les guste decirle asi,,no existe,,mi goma es una pelota de plata,,blancas ,,gruesa y suabe,,mirar asia algun lado ,,suabes y delicados ,,cain las ojas ase calor ,,frio felisidad,,nada ,,por que no existe,,que esta arriba del papel,,si por que puede ser que esta arrbade el,,nada,,NN,,que un carbon seco,,si hay ese tipo de carbon,,nada,,no porque no los he probado,,nada,,no porque no existe,,nada,,no por que no caminan,,por que la vuela el aire,,si por el aire,,nada,,por que no camina,,,
121,122,m,no. porque las pelotas no cantan,,que grita mucho,,hamster. porque tiene alrededor de su rostro pelo,,es que la luna es blanca y lo primero que se me vino a a mente de la plata fue la luna,,NS ,,vlancos como la leche ,,tierna y amable y respetuosa ,,vonita feliz y inpecable de rronper ,,se fue a descansa para que salga el sol ,,que van a venir señores megores ,,por que no hay estrellas de cristal,,que las estrellas no estan hechas de cristal,,que hay vestidos de tela,,creo que los vestidos de tela si son creados,,que hay zapatos de miel,,que no hay zapatos creados por miel,,que si existen esculturas con piedra,,que algunas esculturas si son de piedra,,que las almas no son de hierro,,que las almas no son de hierro,,no se que significa,,0,,NN,,0,,que los atletas si corren,,los atletas si corren,,que el tiempo si corre,,que el tiempo corre todo el tiempo,,,
122,123,m,NN,,NS,,pelota,,****,,suabes,,dura y resistente ,,mirada fija ,,ojos gorseros o asiendo una seña ,,hace calor ,,llego todo lo bueno ,,pierna hecha para personas con discapacidad,,ya existe,,correo,,ya existe,,un calendario,,ya existe,,fuego,,ya existe,,NN,,no existe,,no se pero no creo que existan,,no existe,,NN,,no existe,,pajaros,,si existe,,la noche,,0,,,
123,124,m,si. porque es como rima,,de que mi pelota es muy gritona commo mi hermano,,que mi mama tiene pelo en la cabeza,,que mi hermanito planta flores,,como cabello de paja ,,son dientes dorados,,miermana es pegagoso y sabroso ,,sonrisa dura y fria ,,que la noche se quedo atrasada ,,que ai tienpos de risa ,,la iluminacion,,si es el nacimiento de estrellas,,por que es de hilo,,si por que es como de hilo o tela igual,,los pegajosos,,no por que se desasen con el sol,,los asian los antepasados,,si como los que ponen en los museos,,de pelea,,de que los usaban en las peleas de paises,,se la robarian,,por que se la robarian los perros y se pegan los piojos,,nada,,nada y no es posible,,corredores,,que son los que nadan o corren,,nada,,NN,,,
124,125,m,NN,,que grita mucho,,mi perro es una pelota de pelos,,que es una estrella de plata,,de zacate ,,son de perlas ,,dulce,,es una sonrisa de hielo ,,quedo atras,,vendran cosas mejores ,,son de cristal,,porque es posible,,que es algo bonito,,todo es bello,,no se ,,no es posible,,es algo fuerte y bello,,por que hay cosas fuertes,,que alguien tiene fuerza dentro,,0,,NN,,no es posible,,como que alguien ha llegado,,por que si puede llegar alguien,,que son grandes atletas,,0,,si,,si porque cuando tienes que hacer algo y ya no te alcanza el tiempo,,,
125,126,m,no. porque las pelotas no cantan,,que mi hermanito grita mucho,,una pelota con lineas delgadisimas porque asi es el cabello,,fue el dinero porque la plata es dinero,,pequeño. de zacate ,,brillantes. de perlas ,,dulce,,de hielo ,,se quedo atras ,,que vendran mejores cosas ,,que hacen estrellas de cristal,,por que si es posible,,vestidos normales,,porque todo vestido es asi,,que se hacen zapatos con miel,,por que alcongelar la miel la puedes moldear,,que las esculturas son de piedra,,0,,que tiene una alma fuerte,,por que no se puede hacer una alma de hierro,,banqueta caliente,,porque se hace fria,,que ya lleg o la silla,,por que las sillas no caminan,,que un atleta corre,,por que eso hacen,,que nunca le ganaras al tiempo,,por que el tiempo no dejara de correr,,,
126,127,m,pelota que tiene ojos y boca. nariz y  habla,,que mi  hermano siempre grita,,perro. cabeza. rata. hamster. conejo. raton.,,yo le entiendo una medalla,,largo o corto. peludo o pelon ,,blancos y chiquitos,,0,,bonita,,salio el sol y se quito la noche ,,0,,estrellas brillosas,,por que si existe eso,,un vestido que esta hecho a mano,,porque yo si los he visto los vestidos,,la miel derramada en un zapato,,porque no es visto eso,,una figura en una piedra,,por que si existe eso,,NN,,no la he visto,,NN,,no se banqueta no es asi,,cuando encargas sillas y no llegan,,si me ha pasado,,carreras a pie,,si existen esas cosas,,si para el ,,si pasa lo he vivido,,,
127,128,m,no. porque las pelotas rebotan no cantan,,que el hermano siempre grita,,cabeza porque tiene pelos,,la pelota es muy bonita,,negro y delgado,,blancos y fuertes ,,es muy amable,,muy bonita y limpia,,todos durmieron mucho ,,que hay que seguir adelante,,que hay estrellas de cristal,,por que son respuestas,,que hay vestidos de tela,,por queraspan mas,,que hay zapatos de miel,,por que asi se responde,,que hay esculturas de piedra,,por que asi se hacian,,que casi no hablas,,que no hablas con nadie,,que hay banquetas,,por que no es posible,,que llego una silla,,que ya llego una silla,,que atletas corren,,que los atletas corren,,que hay tiempo,,que hay mucho tiempo,,,
128,129,m,si. porque se le entiende a lo que dice,,que su hermano rueda,,la cabeza,,que es valiosa,,NS ,,son los dientes muy blancos ,,que su hermana es dulce con el,,es cuando tu boca queda abierta ,,que ya paso otra noche,,hay alguien mejor que el ,,es una estrellas que no se mueve de lugar,,por que las estrellas no se mueven,,es un vestdido echo con tela,,es un vestido hecho a mano,,zapatos amarillos,,son unos zapatos amarillos,,es hecho a mano,,es hechoa a mano,,es una alma que no se rinde,,si es el alma que no se rinde,,0,,0,,alguien trajo una silla,,alguien trajo una silla,,corren una vuelta,,es una vuelta muy larga,,alguien que hace algo en ese tiempo,,es alguien que hace algo en ese tiempo,,,
129,130,m,no. porque nadamas dices pelota,,que su hermanito grita mucho,,un peluche. una almohada. el algodon. etc. porque tienen pelos pero de diferente material,,yo digo que es pelota de hierro porque es un poco mas parecida a la plata,,con pelos. esponjoso. y que sigue creciendo,,son puros. fuertes y limpios,,es bondadosa. amigable y limpia,,bonita y blanca,,se va por que la tierra gira hacia el sol y la luna,,que despues habra un dia mejor para nosotros,,significa como el hielo pero como estrellas,,0,,significa un vestido hecho de pura tela,,0,,significa como unos zapatos hechos de miel,,por que no existen zapatos hechos de miel,,significa una estatua de alguien o algo,,porque hay muchas esculturas de piedra en el pais,,significa como una alma hecha de hierro,,por que nadie ha visto una alma hecha de hierro,,significa como una banqueta que te abriga,,por que ninguna banqueta a abrazado a alguien,,significa que una silla puede caminar,,pir que las sillas no caminan,,significa que los corredores corren mucho,,por que los atletas participan en muchas cosas,,significa que el tiempo pasa rapido,,por que el tiempo tiene segundos. minutos. horas. etc,,,
130,131,m,si. tiene sentido porque si pones una persona tiene sentido,,que es griton y juega con una pelota,,gato. chango. leon. perro porque tienen pelos,,mi mama es muy valiosa,,0,,blancos como perlas,,dulce y tierna,,con un hielo en la boca,,que lo que paso no hay vuelta atras,,en el tiempo que esta habra tiempos mejores,,si tu eres la estrella en el cielo,,si es posible sea o no sea tu imaginacion,,son vestidos a mano,,son posibles de hacer sea o no asi,,son zapatos cubiertos de miel,,no es posible seria tonto,,una estatua de una persona,,la podemos hacer sea o no sea posible,,tu alma es fuerte,,es posible si crees ,,0,,0,,ya trajiste la silla,,la silla ya lego si o no es posible,,que corre una carrera,,no es posible llegar si es que crees llegar,,tu esperas tiempo pasa,,si o no son posibles lograr,,,
131,132,m,si. porque le gusta cantar,,que es muy jugueton y grita mucho,,cualquier animal porque tiene pelos,,es algo valioso para el,,de vapor,,suave y con cuero,,ardiente,,gelatinosos,,se acaba la escuela,,que ya se va a acabr el año,,que existen piernas de acero,,no por que no se pueden hacer con acero,,que hay sobres de papel,,si por que el papel es facil de doblarse,,se hacen calendarios con zacate,,si se puede porque es facil el zacate,,que hay carbones ardiendo,,si por que con el carbon ardiente se hacen cosas,,tiene ojos amargos,,cuando se amarga una persona los ojos se amargan,,que hay calceta de plata,,no se puede hacer eso porque la plata no se diseno,,la cebolla va sola,,no las cebollas no llegan,,que vuelan las gaviotas,,si en el mar vuelan las gaviotas,,que esta anocheciendo,,cubdi anochece la luna llega,,,
132,133,m,no. porque las pelotas no cantan,,que mi hermano grita mucho,,un gatito porque los gatos  tienen muchos pelos,,que los medallones pueden ser de muchas formas,,son como la leche. que son blancas,,la piel es como la sedaes un poco blanca,,la mirada es ardiente cuando miras el sol,,los ojos son amargos cuando lloras,,que el verano ya llego,,que la navidad ya va a llegar ,,pierna como de un robot,,si por que si te cortan una pierna te pueden poner de acero,,que es solo un sobre de papel,,si por que si existen los sobres de papel,,un calendario,,no por que no se puede hacer un calendario de zacate,,que es una carbon que se esta quemando,,si por que si quemas un carbon se arde,,cuando lloras se pueden hacer amargos,,si por que cuando lloras tus ojos se hacen amargos,,nada,,no por que se pueden hacer calcetas de plata,,no significa nada,,no por que no significa nada,,que si pueden volar,,si por que las gaviotas si pueden volar,,que ya se va hacer de noche,,si porque solo se va acer de noche,,,
133,134,m,si. porque es como tu mama cantara,,tu hermanito satltara y saltara y no tiene sentido,,perro,,yo digo que seria la luna,,las nubes son nubes muy suaves,,la piel es una capa de  carne y es parte del cuerpo,,la mirada es parte dell cuerpo humano con lo que podemos ver,,los ojos son como la mirada y podemos ver en la noche o en dia,,el verano es que nos indica que podemos poner albercas como un dia muy caluroso,,que la navidad llego para festejar año nuevo y abrir regalos de los reyes magos,,que si es posible tener piernas de acer,,por que si es posible tener piernas de acero cuando provocas un accidente te cortan las piernas y te ponen una de acero,,que si podemos hacer un sobre de papel,,si es posible todos podemos hacer una de papel,,se significa un calendario de zacate,,no es probable tener esa calendario,,cuanco el carbon esta ardiendo,,si esto se puede ver en las parrillas cuando esta ardiente,,es cuando entra en tu ojo y te arde,,es cuando te entra algo en el ojo y te arde mucho,,es una calceta de plata,,no existe esto no es posible,,la cebolla llega a tus ojos,,la cebolla la picas y te arden los ojos,,que las gaviotas vuelan,,si es posible que las gaviotas vuelen,,cuando es la hora que te duermes,,si es posible que la noche llegue,,,
